ds,yhat,yhat_lower,yhat_upper
2019-01-15,7681.987970229621,-5049.14979645063,20795.487415376385
2019-01-16,7736.248522956612,-4417.946074542238,19417.530151210933
2019-01-17,7494.053345773634,-4683.443131422785,20601.806380317794
2019-01-18,7378.370971436381,-4939.60567830841,19406.15439688581
2019-01-19,7210.913775335214,-4999.812695332897,19515.014626152166
2019-01-20,7056.699240126268,-5085.883699875623,19228.584479619545
2019-01-21,6989.649684835995,-4387.777565829905,20361.82454547158
2019-01-22,6743.403384039325,-5017.815959789256,18902.677143279256
2019-01-23,6710.298510101871,-6139.332368457183,19854.6204920129
2019-01-24,6399.5868157588275,-5593.394542022669,18354.47059647287
2019-01-25,6243.077622775873,-6366.506470594227,18342.673700095573
2019-01-26,6055.452834086413,-5978.452784195661,18386.239167628042
2019-01-27,5901.893326447831,-7658.709281232888,17600.372282759923
2019-01-28,5855.987110837854,-6160.261065672682,17169.141297099275
2019-01-29,5650.554652047754,-7461.509104545758,17658.183273559345
2019-01-30,5676.65983428779,-6008.957748597224,17989.866309791432
2019-01-31,5441.8626919902545,-6059.707237949179,17394.16710116322
2019-02-01,5368.220830751891,-6750.454878793489,17496.00107667453
2019-02-02,5275.741352322673,-6837.609735418173,18320.421900584413
2019-02-03,5226.996873111557,-6944.77267054404,18131.053743806988
2019-02-04,5292.799178081239,-6768.080952392304,17525.48340952398
2019-02-05,5203.101295632714,-6109.300957195122,17721.034288965006
2019-02-06,5346.086815859961,-6210.045618981864,17559.62072404659
2019-02-07,5226.500363089204,-6551.479219590359,17229.605596787802
2019-02-08,5263.723965588991,-6918.748997712232,17105.06665176285
2019-02-09,5275.299043033486,-7558.422984507204,17122.603245807404
2019-02-10,5321.605656489891,-7166.1721028179345,17287.728400989115
2019-02-11,5471.590822312444,-6569.336711955497,18100.978187580014
2019-02-12,5453.715188881384,-6566.8521862249545,16987.846612477504
2019-02-13,5655.07570804267,-7070.511598654034,17833.901832811473
2019-02-14,5579.757351375538,-6227.655647491787,18416.38090881345
2019-02-15,5646.918107263366,-6545.354521800881,18626.866016107142
2019-02-16,5674.306840069037,-6625.961172985709,18309.438786921677
2019-02-17,5722.925887697377,-6411.90705660517,19114.28701273119
2019-02-18,5862.730793541114,-6069.885474855143,17715.563322204573
2019-02-19,5823.537411309663,-7367.250629586953,18109.415242203875
